storeName,storeAddress,storeTel,storeHours
一心,"高雄市前鎮區一心二路45號,高雄市,高雄市前鎮區,802",(07)3300900,一~日9:30AM-11:00PM
七堵,"基隆市七堵區明德一路188號1-2F,基隆市,基隆市七堵區,206",(02)24565652,一~日9:00AM-11:00PM
七張,"新北市新店區北新路二段65號,新北市,新北市新店區,23143",(02)29112371,一~日10:00AM-11:00PM
三和,"新北市三重區三和路四段155巷2號、157號,新北市,新北市三重區,241",(02)82870796,一~日9:30AM-12:00AM
三和2,"新北市三重區三和路四段420號,新北市,新北市三重區,24154",(02)22800915,一~日9:00AM-11:00PM
三峽,"新北市三峽區民生街119-2號,新北市,新北市三峽區,237  ",(02)26728785        ,"一~五9:00AM-11:00PM
六~日8:00AM-11:00PM"
三民,"台中市北區三民路三段92-3號,台中市,台中市北區,404  ",(04)22260075        ,一~日10:30AM-12:00AM
三總,"台北市內湖區成功路二段325號B1,台北市,台北市內湖區,11490",(02)27912391,一~日9:00AM-9:00PM
三芝,"新北市三芝區育英街1號,新北市,新北市三芝區,25541",(02)26369211,一~日10:30AM-10:00PM
三華,"新北市三重區中華路99、101號1-4F,新北市,新北市三重區,241",(02)89827815,一~日10:00AM-11:00PM
三重,"新北市三重區重新路二段78號,新北市,新北市三重區,241",(02)29788524,一~日10:00AM-11:00PM
中三,"桃園市中壢區新生路40號,桃園市,桃園市中壢區,320",(03)4278267,一~日9:30AM-11:00PM
中原,"桃園市中壢區日新路82號,桃園市,桃園市中壢區,320",(03)4372449,一~日10:00AM-12:00AM
中原2,"桃園市中壢區中山東路二段26號1-2F,桃園市,桃園市中壢區,320  ",(03)4370348         ,一~日9:00AM-10:30PM
中和,"新北市中和區興南路一段47號,新北市,新北市中和區,235",(02)31515425,一~日8:00AM-2:00AM
中坡,"台北市南港區忠孝東路五段982號,台北市,台北市南港區,115  ",(02)26522251        ,一~日9:00AM-11:00PM
中央,"新北市三重區中央北路134號,新北市,新北市三重區,241",(02)29777276,一~日10:00AM-11:30PM
中山,"新北市永和區中山路一段212號,新北市,新北市永和區,234",(02)29250603,一~日10:00AM-11:00PM
中山北,"台南市永康區中山北路31&33號,台南市,台南市永康區,71071",(06)2320600,一~日10:00AM-10:00PM
中山南,"台南市永康區中山南路237號1樓,台南市,台南市永康區,71078",(06)3021600,一~日10:00AM-11:00PM
中山東,"桃園市桃園區中山東路32-4號B1-2樓,桃園市,桃園市桃園區,33048",(03)3311461,一~日10:00AM-11:00PM
中平,"新北市新莊區中平路87巷1號B1-2F,新北市,新北市新莊區,242  ",(02)22779815        ,一~日10:00AM-11:00PM
中正,"桃園市桃園區中正路54號,桃園市,桃園市桃園區,330  ",(03)3381469         ,一~日12:00AM-12:00AM
中正北,"新北市三重區中正北路189號1-2樓,新北市,新北市三重區,24157",(02)29710809,一~日10:00AM-10:00PM
中正西,"新竹縣竹北市中正西路19號1-3樓,新竹縣,新竹縣竹北市,30284",(03)6563709,一~日10:30AM-10:30PM
中港,"新北市新莊區中港路297號,新北市,新北市新莊區,242  ",(02)89915400        ,一~日10:00AM-11:00PM
中科,"台中市西屯區西屯路三段287,289號,台中市,台中市西屯區,40763",(04)24608328,一~日10:00AM-11:00PM
